epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6199,2.86768,6.75322,2.02418,0,0,0,0,2.79891,7.58756,2.24724,3.334e-05,3.334e-05,3.334e-05
2,42.8683,2.61412,6.7123,1.89109,0,0,0,0,3.1768,8.61433,2.23667,7.78489e-05,7.78489e-05,7.78489e-05
3,65.8169,2.5236,6.48957,1.69795,0,0,0,0,2.76954,7.02911,2.0232,0.000115756,0.000115756,0.000115756
4,87.3563,2.30017,5.81432,1.59272,0.00049,0.125,0.00031,3e-05,2.31362,6.32338,1.71482,0.000147063,0.000147063,0.000147063
5,107.824,2.03212,5.1614,1.33742,0.0024,0.70833,0.00216,0.00046,2.29574,5.82862,1.77974,0.000171768,0.000171768,0.000171768
6,127.199,2.04365,4.76872,1.36119,0.00239,0.70833,0.00217,0.00028,2.35665,5.91227,1.8165,0.000189871,0.000189871,0.000189871
7,146.024,2.0934,4.53424,1.33772,0.00096,0.25,0.00074,0.00024,2.28511,5.61787,1.7003,0.000201374,0.000201374,0.000201374
8,165.99,2.03205,4.14308,1.32546,0.00189,0.54167,0.0016,0.00047,2.3394,5.65924,1.70877,0.000206275,0.000206275,0.000206275
9,185.805,1.89864,4.27455,1.28114,0.00142,0.41667,0.00105,0.0003,2.16154,5.66126,1.56905,0.000204574,0.000204574,0.000204574
10,205.265,1.67871,3.59995,1.2268,0.00191,0.58333,0.00154,0.00036,2.08107,5.69512,1.53851,0.000196273,0.000196273,0.000196273
11,225.349,1.77974,3.35826,1.24844,0.00238,0.75,0.00221,0.0006,2.05457,5.48186,1.47516,0.00018137,0.00018137,0.00018137
12,245.455,1.78422,3.35453,1.26925,0.00237,0.75,0.00224,0.00066,2.09113,5.49566,1.48318,0.000159865,0.000159865,0.000159865
13,264.517,1.66707,3.18643,1.19365,0.00237,0.75,0.00222,0.0008,2.14202,5.12564,1.45468,0.00013176,0.00013176,0.00013176
14,284.777,1.62607,3.00929,1.20957,0.00238,0.75,0.0022,0.00079,2.18602,5.01977,1.47439,9.70527e-05,9.70527e-05,9.70527e-05
15,304.244,1.62356,3.07606,1.19574,0.00238,0.75,0.006,0.00194,2.16657,4.93973,1.48611,5.57445e-05,5.57445e-05,5.57445e-05
